id,domain,title,source,source_rank,source_id,source_item_url,artist,selection_group,metadata_year,popularity,length_group
movies_the_hobbit_the_battle_of_the_five_armies,movies,The Hobbit: The Battle of the Five Armies,IMDb non-commercial datasets,270,tt2310332,https://www.imdb.com/title/tt2310332/,,,2014,623706,long
movies_the_hangover_part_ii,movies,The Hangover Part II,IMDb non-commercial datasets,291,tt1411697,https://www.imdb.com/title/tt1411697/,,,2011,584106,long
movies_john_wick_chapter_2,movies,John Wick: Chapter 2,IMDb non-commercial datasets,297,tt4425200,https://www.imdb.com/title/tt4425200/,,,2017,576949,long
movies_children_of_men,movies,Children of Men,IMDb non-commercial datasets,307,tt0206634,https://www.imdb.com/title/tt0206634/,,,2006,570271,medium
movies_big_hero_6,movies,Big Hero 6,IMDb non-commercial datasets,316,tt2245084,https://www.imdb.com/title/tt2245084/,,,2014,560212,medium
bands_the_strokes,bands,The Strokes,ListenBrainz all-time artists / MusicBrainz,39,f181961b-20f7-459e-89de-920ef03c7ed0,https://musicbrainz.org/artist/f181961b-20f7-459e-89de-920ef03c7ed0,,,1998,1283177,medium
bands_deftones,bands,Deftones,ListenBrainz all-time artists / MusicBrainz,46,7527f6c2-d762-4b88-b5e2-9244f1e34c46,https://musicbrainz.org/artist/7527f6c2-d762-4b88-b5e2-9244f1e34c46,,,1988,1216460,short
bands_pixies,bands,Pixies,ListenBrainz all-time artists / MusicBrainz,71,b6b2bb8d-54a9-491f-9607-7b546023b433,https://musicbrainz.org/artist/b6b2bb8d-54a9-491f-9607-7b546023b433,,,1986,1048097,short
bands_the_black_keys,bands,The Black Keys,ListenBrainz all-time artists / MusicBrainz,84,d15721d8-56b4-453d-b506-fc915b14cba2,https://musicbrainz.org/artist/d15721d8-56b4-453d-b506-fc915b14cba2,,,2001,986094,medium
bands_panic_at_the_disco,bands,Panic! at the Disco,ListenBrainz all-time artists / MusicBrainz,95,b9472588-93f3-4922-a1a2-74082cdf9ce8,https://musicbrainz.org/artist/b9472588-93f3-4922-a1a2-74082cdf9ce8,,,2004,949962,long
bands_modest_mouse,bands,Modest Mouse,ListenBrainz all-time artists / MusicBrainz,125,a96ac800-bfcb-412a-8a63-0a98df600700,https://musicbrainz.org/artist/a96ac800-bfcb-412a-8a63-0a98df600700,,,1993,817407,medium
bands_the_clash,bands,The Clash,ListenBrainz all-time artists / MusicBrainz,128,8f92558c-2baa-4758-8c38-615519e9deda,https://musicbrainz.org/artist/8f92558c-2baa-4758-8c38-615519e9deda,,,1976,802540,medium
bands_outkast,bands,OutKast,ListenBrainz all-time artists / MusicBrainz,157,73fdb566-a9b1-494c-9f32-51768ec9fd27,https://musicbrainz.org/artist/73fdb566-a9b1-494c-9f32-51768ec9fd27,,,1991,737009,short
bands_the_chemical_brothers,bands,The Chemical Brothers,ListenBrainz all-time artists / MusicBrainz,160,1946a82a-f927-40c2-8235-38d64f50d043,https://musicbrainz.org/artist/1946a82a-f927-40c2-8235-38d64f50d043,,,1989,729052,medium
bands_air,bands,Air,ListenBrainz all-time artists / MusicBrainz,163,cb67438a-7f50-4f2b-a6f1-2bb2729fd538,https://musicbrainz.org/artist/cb67438a-7f50-4f2b-a6f1-2bb2729fd538,,,1995,727228,short
bands_limp_bizkit,bands,Limp Bizkit,ListenBrainz all-time artists / MusicBrainz,178,8f9d6bb2-dba4-4cca-9967-cc02b9f4820c,https://musicbrainz.org/artist/8f9d6bb2-dba4-4cca-9967-cc02b9f4820c,,,1994,704811,medium
bands_aerosmith,bands,Aerosmith,ListenBrainz all-time artists / MusicBrainz,185,3d2b98e5-556f-4451-a3ff-c50ea18d57cb,https://musicbrainz.org/artist/3d2b98e5-556f-4451-a3ff-c50ea18d57cb,,,1970,691484,short
bands_simon_garfunkel,bands,Simon & Garfunkel,ListenBrainz all-time artists / MusicBrainz,193,5d02f264-e225-41ff-83f7-d9b1f0b1874a,https://musicbrainz.org/artist/5d02f264-e225-41ff-83f7-d9b1f0b1874a,,,1963,677723,medium
bands_a_tribe_called_quest,bands,A Tribe Called Quest,ListenBrainz all-time artists / MusicBrainz,217,9689aa5a-4471-4fb4-9721-07cecda0fa9f,https://musicbrainz.org/artist/9689aa5a-4471-4fb4-9721-07cecda0fa9f,,,1985,638723,long
bands_yeah_yeah_yeahs,bands,Yeah Yeah Yeahs,ListenBrainz all-time artists / MusicBrainz,261,584c04d2-4acc-491b-8a0a-e63133f4bfc4,https://musicbrainz.org/artist/584c04d2-4acc-491b-8a0a-e63133f4bfc4,,,2000,569454,medium
bands_twice,bands,TWICE,ListenBrainz all-time artists / MusicBrainz,279,8da127cc-c432-418f-b356-ef36210d82ac,https://musicbrainz.org/artist/8da127cc-c432-418f-b356-ef36210d82ac,,,2015,549300,short
bands_brockhampton,bands,BROCKHAMPTON,ListenBrainz all-time artists / MusicBrainz,290,3ac96b4c-4f42-48c8-b793-84dbf54d7ac6,https://musicbrainz.org/artist/3ac96b4c-4f42-48c8-b793-84dbf54d7ac6,,,2015,539348,short
bands_yes,bands,Yes,ListenBrainz all-time artists / MusicBrainz,359,c1d4f2ba-cf39-460c-9528-6b827d3417a1,https://musicbrainz.org/artist/c1d4f2ba-cf39-460c-9528-6b827d3417a1,,,1968,471564,short
bands_babymetal,bands,BABYMETAL,ListenBrainz all-time artists / MusicBrainz,363,27e2997f-f7a1-4353-bcc4-57b9274fa9a4,https://musicbrainz.org/artist/27e2997f-f7a1-4353-bcc4-57b9274fa9a4,,,2010,469545,short
bands_within_temptation,bands,Within Temptation,ListenBrainz all-time artists / MusicBrainz,368,eace2373-31c8-4aba-9a5c-7bce22dd140a,https://musicbrainz.org/artist/eace2373-31c8-4aba-9a5c-7bce22dd140a,,,1995,462958,medium
bands_infected_mushroom,bands,Infected Mushroom,ListenBrainz all-time artists / MusicBrainz,384,eab76c9f-ff91-4431-b6dd-3b976c598020,https://musicbrainz.org/artist/eab76c9f-ff91-4431-b6dd-3b976c598020,,,1996,446079,medium
bands_pet_shop_boys,bands,Pet Shop Boys,ListenBrainz all-time artists / MusicBrainz,405,be540c02-7898-4b79-9acc-c8122c7d9e83,https://musicbrainz.org/artist/be540c02-7898-4b79-9acc-c8122c7d9e83,,,1981,430095,medium
bands_autechre,bands,Autechre,ListenBrainz all-time artists / MusicBrainz,443,410c9baf-5469-44f6-9852-826524b80c61,https://musicbrainz.org/artist/410c9baf-5469-44f6-9852-826524b80c61,,,1991,407564,short
bands_red_velvet,bands,Red Velvet,ListenBrainz all-time artists / MusicBrainz,490,4f0cb3b7-6c06-4317-ae35-ddf3106a17ee,https://musicbrainz.org/artist/4f0cb3b7-6c06-4317-ae35-ddf3106a17ee,,,2014,387264,medium
